"Refs","Value","Footprint","Qty","DNP"
"C1","10uF","","1",""
"C2","10uF","","1",""
"C3","10uF","","1",""
"C4","10uF","","1",""
"C5","22uF 50V","","1",""
"C6","100uF 16V","","1",""
"C7","100 nF","","1",""
"C8","100 nF","","1",""
"D1","LED","","1",""
"D2","LED","","1",""
"D3","1N5819","","1",""
"F1","PPTC 60V 0.4A","","1",""
"J1","TERMINAL_BLK","","1",""
"J2","Conn_01x09_Pin","","1",""
"J3","Conn_01x02","","1",""
"J4","Conn_01x02","","1",""
"J5","Conn_01x09_Pin","","1",""
"J6","Conn_01x02","","1",""
"J7","Conn_01x02_Pin","","1",""
"J8","TERMINAL_BLK","","1",""
"J9","Conn_01x02_Socket","","1",""
"M1","Snubber_module_220VAC","","1",""
"M2","","","1",""
"M3","","","1",""
"M4","","","1",""
"M5","ROTARY_ENC_W/SW_MODULE","","1",""
"M6","","","1",""
"M7","","","1",""
"M8","","","1",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1","2K","","1",""
"R2","4.7K","","1",""
"R4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","2.2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"TH1","NTC 10K","","1",""
"TH2","NTC 10K","","1",""
"TH3","NTC 10K","","1",""
"TP1","5V_VO","","1",""
